iter	thetaS	mu	kappa	phi	moveType	accepted	likelihood	alpha	nblocks	nrblocks	param0	param1	omega0	rho0
510	0.000868147	0.00297029	7.60983	0	7	1	-6059.38	-0.596237	1	1	7.60983	2.91128e+10	1.91182	2.91128e+10
520	0.00110749	0.00297029	10.028	0	7	0	-6061.85	-2.11787	1	1	3.98563	0.857456	0.857456	2.4823e+10
530	0.00256423	0.00658128	10.5313	0	7	1	-6060.23	0.0460083	1	1	10.5313	4.41816e+10	0.642743	4.41816e+10
540	0.0110973	0.0131581	24.1483	0	2	0	-6070.52	-5.22057	1	1	0	1.63817	0.642743	1.63901e+11
550	0.00227202	0.00496771	12.5639	0	6	1	-6061.06	-0.895551	1	1	0.00496771	0.287055	0.461288	2.1775e+11
560	0.003365	0.0107056	8.27142	0	2	1	-6060.47	-1.29758	1	1	0	0.47678	0.47678	1.73476e+11
570	0.00573081	0.0107056	14.9032	0	6	0	-6063.13	-1.27981	1	1	0.0199948	1.83146e+11	0.424206	1.83146e+11
580	0.00511152	0.00954869	14.9032	0	6	0	-6060.29	-0.297832	1	1	0.00423599	3.78538e+11	0.745466	3.78538e+11
590	0.00229165	0.00725225	8.32151	0	7	0	-6061.05	-0.963162	1	1	4.81019	9.89386e+11	0.499977	9.89386e+11
600	0.00152355	0.0056766	6.89302	0	2	1	-6059.34	0.0511581	1	1	0	1.32983	1.32983	9.89386e+11
610	0.00104401	0.00388991	6.89302	0	2	1	-6059.18	-0.0271718	1	1	0	1.88265	1.88265	3.52344e+12
620	0.00223993	0.00388991	16.1192	0	6	0	-6066.97	-5.3929	1	1	0.00851447	6.47824	3.35922	6.17661e+12
630	0.000926046	0.00388991	5.98293	0	7	1	-6058.79	-0.0714056	1	1	5.98293	3.60453e+12	3.35922	3.60453e+12
640	0.000846558	0.00355601	5.98293	0	2	0	-6063.2	-3.03724	1	1	0	14.5835	6.88339	3.82433e+12
650	0.000846558	0.00355601	5.98293	0	8	1	-6059.41	-0.843446	1	1	0	5.22343e+12	6.88339	5.22343e+12
660	0.000586129	0.00246207	5.98293	0	8	1	-6058.73	0.766316	1	1	0	1.94897e+13	6.88339	1.94897e+13
670	0.000586129	0.00246207	5.98293	0	8	1	-6059.29	0.680919	1	1	0	5.32219e+13	9.89075	5.32219e+13
680	0.000180664	0.00174953	1.93763	0	6	1	-6058.8	0.0824393	1	1	0.00174953	1.09882e+14	15.0398	1.09882e+14
690	0.000262542	0.00174953	3.34208	0	2	1	-6059.16	-0.174765	1	1	0	19.7791	19.7791	7.37035e+13
700	0.000179956	0.00174953	1.92549	0	2	1	-6058.8	0.532312	1	1	0	14.3168	14.3168	8.70756e+13
710	0.000747996	0.0041048	4.30721	0	7	1	-6059.69	0.144821	1	1	4.30721	7.98614e+13	8.35177	1.66126e+14
